"partie","player","stratCulture","stratParcelle","stratOrdreIrrig","stratSeau.x","stratSeau.y","stratSeau"
115,"p1","0.25",4,2,3,0,0
116,"p1","0.7",10,2,1,1,4
117,"p1","0.333333333333333",12,2,5,0,1
118,"p1","0.4",5,2,0,0,3
119,"p1","0.5",10,1,1,1,3
120,"p1","0.75",4,2,3,0,0
121,"p1","0.714285714285714",7,1,2,0,3
122,"p1","0.444444444444444",9,2,3,2,0
123,"p1","0.6",5,2,0,0,3
124,"p1","0.6",5,3,0,0,3
125,"p1","0.5",6,1,1,1,1
126,"p1","0.333333333333333",6,1,1,0,2
127,"p1","0.272727272727273",11,2,0,0,6
128,"p1","0.6",5,2,2,0,1
129,"p1","0.727272727272727",11,1,4,0,2
130,"p1","0.5",4,1,1,0,2
131,"p1","0.5",4,3,3,0,0
132,"p1","0.6",10,1,3,1,2
133,"p1","0.4",5,2,2,0,1
134,"p1","0.5",4,1,0,0,3
135,"p1","0.2",10,2,1,0,4
136,"p1","0.4",5,2,0,0,3
137,"p1","0.6",10,2,3,0,3
138,"p1","0.666666666666667",6,1,2,0,1
139,"p1","0.3",10,2,2,0,3
140,"p1","0",6,1,0,0,4
141,"p1","0.666666666666667",9,2,0,0,6
142,"p1","0.875",8,2,2,0,3
143,"p1","0.714285714285714",7,2,4,0,2
144,"p1","0.4",5,2,2,0,1
145,"p1","0.4",5,2,2,1,0
146,"p1","0.5",10,1,6,0,0
147,"p1","0.285714285714286",7,2,3,0,1
148,"p1","0.555555555555556",9,2,4,0,1
149,"p1","0.636363636363636",11,2,0,0,6
150,"p1","0.571428571428571",7,1,3,0,1
151,"p1","0.5",8,2,4,1,0
152,"p1","0.444444444444444",9,2,2,0,3
153,"p1","0.8",5,1,0,0,3
154,"p1","0.75",4,1,2,1,1
155,"p1","0.75",4,2,3,0,0
156,"p1","0.6",5,1,3,0,0
157,"p1","0.444444444444444",9,2,0,0,6
158,"p1","0.666666666666667",6,2,0,0,4
159,"p1","0.4",5,1,1,1,1
160,"p1","0.272727272727273",11,2,3,0,3
161,"p1","0.333333333333333",6,2,1,0,2
162,"p1","0.166666666666667",6,2,0,0,3
163,"p1","0.166666666666667",6,2,3,0,0
164,"p1","0.166666666666667",6,2,3,0,2
165,"p1","0.3",10,2,2,4,0
166,"p1","0.444444444444444",9,2,2,1,2
167,"p1","0.333333333333333",6,1,2,1,0
168,"p1","0.181818181818182",11,2,8,0,0
169,"p1","0.4",5,2,3,0,0
170,"p1","0.25",4,2,0,0,3
171,"p1","0.3",10,2,2,2,2
172,"p1","0.4",5,2,2,0,1
173,"p1","0.666666666666667",6,3,0,1,2
174,"p1","0.2",5,2,0,0,3
175,"p1","0.75",4,1,3,0,0
176,"p1","0",3,1,4,0,1
177,"p1","0.75",4,2,4,0,0
178,"p1","0.333333333333333",6,2,0,0,3
179,"p1","0.285714285714286",7,2,2,2,1
180,"p1","0.555555555555556",9,1,3,0,2
181,"p1","0.285714285714286",7,2,1,0,3
182,"p1","0.6",5,2,1,0,2
183,"p1","0.625",8,2,4,0,1
184,"p1","0.333333333333333",3,2,1,0,2
185,"p1","0.444444444444444",9,1,2,0,4
186,"p1","0.6",5,1,3,0,0
187,"p1","0.9375",16,1,5,3,0
188,"p1","0.7",10,2,6,0,0
189,"p1","0.2",5,2,2,1,0
190,"p1","0.714285714285714",7,3,1,0,3
191,"p1","0.4",5,2,2,0,1
192,"p1","0.714285714285714",7,2,0,0,4
193,"p1","0.6",5,2,2,0,1
194,"p1","0.333333333333333",3,2,0,0,3
195,"p1","0.571428571428571",14,1,3,3,1
196,"p1","0.4",5,1,0,0,3
197,"p1","0.4",5,2,1,0,2
198,"p1","0.166666666666667",6,1,2,0,1
199,"p1","0.6",10,1,1,3,1
200,"p1","0.6",5,1,2,0,1
201,"p1","0.5",4,2,2,1,0
202,"p1","0.6",5,2,2,1,0
203,"p1","0.25",4,2,3,0,0
204,"p1","0.5",6,2,1,0,2
205,"p1","0.25",4,2,2,0,1
206,"p1","0.8",15,1,4,0,5
207,"p1","0.166666666666667",6,2,1,0,2
208,"p1","0.666666666666667",6,1,1,0,2
209,"p1","0.4",5,1,2,0,1
210,"p1","0.2",5,2,2,0,1
